habid,hid,nombre_habitacion,precio
0,0,Soledad Gustavo Tamez Bañuelos,48930.1
1,0,Dulce María Juárez Rascón,127490.54
2,0,Pedro Conchita Preciado,102293.63
3,0,Abril Mena Figueroa,111194.38
4,0,César Esparza Mascareñas,54059.08
5,0,Sr(a). Alejandra Rodríguez,56359.16
6,0,Daniel Ponce,16602.98
7,0,Jonás Bianca Zedillo,76881.23
8,0,Mtro. Esperanza Vázquez,73647.78
9,0,Nancy Berríos,41889.37
10,0,Martha Miranda Tejada,136813.86
11,0,Nicolás Granado,16993.7
12,0,Sr(a). Fabiola Villarreal,87337.25
13,0,Fernando Orozco Armendáriz,77157.88
14,0,Eloisa Daniela Mateo,83487.2
15,0,Rocío Briseño,129469.48
16,0,Karla Porfirio Pantoja,106360.67
17,0,Alejandra Gamez,41655.83
18,0,Dr. Conchita Hurtado,91919.35
19,0,Víctor Galindo Hurtado,13305.23
20,0,Cynthia Guerrero Mondragón,80583.67
21,0,Hilda Miguel Patiño,85470.41
22,0,Paola Gallegos Bañuelos,4157.72
23,0,Teresa Daniela Núñez Griego,83856.7
24,0,Ing. Patricio Ávalos,131168.02
25,0,Sr(a). Ana Salinas,64971.43
26,0,Eugenio Miriam Berríos,90830.1
27,0,Karina Dávila Téllez,143651.66
28,0,María Cristina Gregorio Cardona,97484.49
29,0,Alma María Cristina Palacios,47068.61
30,0,Luisa Camarillo,23183.06
31,0,Dr. Hugo Navarrete,127880.09
32,0,Marcos Trinidad Portillo Verdugo,36280.45
33,0,Lic. Rebeca Nájera,7858.79
34,0,Camilo Cabrera,138325.79
35,0,Anel José Manuél Villagómez López,95537.46
36,0,Abigail Verduzco Granados,133102.06
37,0,Guillermina Longoria,3337.37
38,0,Isabela Alejandro Verdugo Rico,46289.8
39,0,Conchita Nadia Cano,107868.26
40,0,Pedro Estela Rael,82621.61
41,0,Ana Chacón,88265.21
42,0,José Emilio Helena Carrero Zavala,103354.35
43,0,Dr. Georgina Ontiveros,138478.42
44,0,Ivonne Ortiz,78951.7
45,0,Lucía Gil,113258.63
46,0,Mtro. Jacinto Chávez,119482.7
47,0,Reynaldo Botello Altamirano,71684.36
48,0,Antonia Sandra Gracia Collado,3096.21
49,0,Violeta Guadalupe Acevedo,96662.23
50,0,Amelia Bustos,112655.75
51,0,Alicia Abel Pineda Aragón,60400.18
52,0,Olivia Socorro Apodaca,68189.99
53,0,Carla Pizarro,91271.04
54,0,David Elsa Arias Vigil,53966.99
55,0,María Aldo Galván Orta,134779.15
56,0,Dr. Dalia Fierro,139229.2
57,0,Maximiliano Saldivar,78980.67
58,0,Mtro. Amalia Roldán,72421.29
59,0,Concepción Humberto Lovato,133344.38
60,0,Esparta Julio César Verduzco Henríquez,16127.73
61,0,Isabela Nieves,75779.29
62,0,Mtro. Gustavo Covarrubias,118967.13
63,0,Angélica Leonor Montes Abreu,75695.85
64,0,Juan Carlos Emilio Quezada,69787.6
65,0,Lic. Héctor Solorio,79524.2
66,0,Araceli Espinosa,108061.29
67,0,José María Vargas,60687.53
68,0,Sr(a). Esmeralda Enríquez,134716.49
69,0,Nayeli Lilia Verdugo Madrigal,132785.23
70,0,Rocío Tejeda,29267.44
71,0,Dr. María Cristina Casárez,36578.8
72,0,Abraham Cepeda Salcedo,17850.74
73,0,Ing. Esperanza Prado,15044.3
74,0,Cornelio Emiliano Sandoval Amador,38575.24
75,0,Dr. Patricia Merino,2480.69
76,0,Sr(a). Reina Collado,70246.97
77,0,Ing. Conchita Berríos,110460.07
78,0,Mtro. Lilia Aponte,139858.47
79,0,José Valdés,49066.77
80,0,Sonia José Manuél Farías Cardona,126820.46
81,0,Federico Gonzalo Rivas Collado,141327.18
82,0,Dr. Florencia Mateo,149332.35
83,0,Karla Polanco,13457.39
84,0,Tomás Hurtado,37034.33
85,0,Cecilia Ariadna Esquivel,124936.5
86,0,Mtro. Jaime Cuellar,95731.2
87,0,Zeferino Zambrano Montero,55668.76
88,0,Mariano Montenegro,64362.25
89,0,Rebeca Ana María Rosas,48691.26
90,0,Juan Carlos José Manuél Nevárez Prado,144268.9
91,0,Alicia Malave,106151.37
92,0,Estela Colón Salinas,35062.21
93,0,Marcela Barbara Casillas Mendoza,139371.8
94,0,Luz Mónica Ríos Rolón,3221.04
95,0,Bianca Valverde Arreola,127578.67
96,0,Espartaco Vela,8681.54
97,0,Ruby Valdés de la Fuente,123620.87
98,0,Laura Quiroz,113675.92
