hid,rid,nombre_hotel,direccion,telefono,descripcion_hotel,estrellas
0,0,Hotel Industrias Altamirano y Galarza,Callejón Mónaco 898 Interior 236,56929812651,Totam adipisci minima a. Molestias sequi libero.,3
1,0,Hotel Barela-Almanza,"Peatonal Puebla 091 Edif. 961 , Depto. 549",56977849487,Accusamus maxime sapiente mollitia iusto. Dolor fugiat iusto ratione ipsam.,5
2,0,Hotel Girón-Navarro A.C.,"Calzada Colombia 562 Edif. 348 , Depto. 575",56963344730,Veniam esse error eligendi similique. Quas non nemo natus.,1
3,0,"Hotel Corporacin Adame, Ceballos y Nazario",Boulevard Godoy 928 463,56966786806,Quia sunt ad consequuntur. Quaerat neque rerum.,2
4,0,Hotel Alemán-Olivas,"Circunvalación Arredondo 580 Edif. 580 , Depto. 707",56949866616,Nemo temporibus quasi. Eum maiores magnam ipsa recusandae vitae. Sapiente reprehenderit fugiat maiores porro velit accusamus.,4
5,0,"Hotel Club Valdez, Pichardo y Guevara",Callejón Tlaxcala 045 097,56931515941,Necessitatibus dignissimos eaque quibusdam. Nobis quis ipsam voluptates earum. Tenetur voluptas nostrum mollitia optio aliquam culpa.,3
6,0,Hotel Mata y Perales e Hijos,"Callejón Morelos 183 Edif. 080 , Depto. 764",56936240948,Nihil vel aliquam modi sit repellat doloremque officia.,3
7,0,"Hotel Casas, Paz y Iglesias",Privada Oaxaca 116 697,56928376408,Reiciendis non porro repellendus minus necessitatibus. Cumque similique magnam voluptatem voluptatum ea veritatis.,5
8,0,Hotel Angulo-Jaimes S.C.,"Boulevard Acevedo 363 Edif. 224 , Depto. 071",56938726680,Et voluptatibus iure sapiente ex reiciendis. Atque et voluptatem odit occaecati. Soluta eos laudantium odio iste fuga minus.,3
9,0,Hotel Industrias Robles-Rubio,Privada Chiapas 531 Interior 710,56949777879,Repellat est numquam voluptas repudiandae. Facilis fuga dolor. Porro culpa maiores quisquam non.,3
10,0,Hotel Archuleta y Caraballo S.A. de C.V.,Periférico Sur Orellana 103 649,56903427420,Magnam porro possimus vitae doloremque beatae nihil alias. Nulla amet eligendi rerum quis. Necessitatibus corporis ab dignissimos neque.,1
11,0,Hotel Zapata-Delgado y Asociados,Circuito Razo 499 Interior 353,56960686587,Sint quis pariatur repellendus quibusdam sapiente. Ipsa voluptatibus iure numquam ipsam earum reiciendis.,2
12,0,Hotel Rivera y Covarrubias A.C.,Calzada San Marino 421 Interior 211,56979652146,Sunt corporis eaque provident. Reprehenderit nisi eos asperiores accusantium.,4
13,0,Hotel Despacho Guerra y Alcala,Eje vial Oquendo 181 943,56984714758,Voluptatum animi laudantium iusto quidem modi. Facilis sit iste quibusdam vero maxime.,2
