pid,restid,nombre_plato,descripcion,precio
0,0,Fettuccini con espárragos y jamón,Error distinctio porro laboriosam dicta quaerat. Laudantium ex natus beatae iusto.,23126.02
1,0,Ensalada de calabacín y pollo,Quos officia voluptatum porro. Adipisci vero accusantium totam laboriosam velit non eaque. Eos dolor eos vel.,2912.33
2,0,Ensalada tibia de judías verdes con vinagreta de tomate,Odit itaque molestias commodi quae. Animi doloribus facilis eligendi facere. Perferendis quasi ipsum quae.,12319.89
3,0,Pollo frito,Eos dolorem aliquid velit similique numquam ullam. Quod omnis labore occaecati delectus blanditiis. Ad earum quam eos deserunt provident. Natus dolorum voluptatibus iste ipsa consectetur maiores.,23064.26
4,0,Caballa en escabeche,Tempora omnis vitae excepturi consequuntur. Accusantium aut nihil id exercitationem mollitia. Atque doloremque id fugiat.,12948.63
5,0,Ensalada de trigueros y atún fresco,Officiis fugit dolorem minima eligendi vel at. Neque consequatur quia harum exercitationem aliquid id. Porro impedit eaque quas. Delectus libero optio animi minima.,13368.05
6,0,Ensalada de espinacas con jamón y vinagreta de cacahuetes,Distinctio provident ex reprehenderit ipsum magnam deleniti. Unde nulla debitis natus reiciendis sint. Quaerat et nobis animi quasi ullam.,6906.99
7,0,Ensalada de pollo con anacardos,Quisquam sapiente ipsum rerum earum consequuntur fugiat. Magni voluptatibus vero at quis sit. Officiis tempore rerum.,9492.16
8,0,"Ensalada de pollo, queso fresco y piñones",Hic nemo dolorum repellat libero vero quaerat. Iure cupiditate cumque voluptatibus totam unde quasi iure.,5989.3
9,0,Solomillo al jerez,Repellendus impedit repellendus voluptatem harum. Repudiandae corporis omnis facere. Quasi unde corrupti inventore nulla nemo iste.,5082.77
10,1,Alcachofas a la catalana,Doloremque atque temporibus quam qui libero vitae aspernatur. Quidem minus quod impedit. Est nesciunt pariatur cum excepturi magni.,18099.21
11,1,Risotto de Gambas y Espárragos,Dignissimos provident iure quasi veniam modi consequatur. Unde quae eos temporibus.,19080.52
12,1,Spaghetti con chipirones y verdurillas,Necessitatibus voluptatum harum molestias nihil sed hic. Corporis necessitatibus ut praesentium consequuntur error reprehenderit.,20293.66
13,1,Salmonetes con tomate,Eligendi ab laudantium tempora beatae animi ipsa. Ipsa corporis voluptatum voluptates sed.,16362.25
14,1,Cuscús con vinagreta de alcachofa asada,Exercitationem minima excepturi exercitationem tempora. Minus distinctio magni beatae suscipit aperiam. Voluptates quaerat incidunt illum veritatis voluptatum sequi.,3621.83
15,1,"Ensalada de tomate, melon y huevos rellenos de jamon",Quibusdam consequuntur illum debitis ab id sequi dolores. Est esse vero minus.,5179.75
16,1,Ensalada de trigueros y atún fresco,Exercitationem modi nostrum beatae ipsam cum.,5457.14
17,1,Cuscús al estilo griego,Exercitationem veritatis autem ut. Doloremque reprehenderit labore odio laudantium fugiat. Incidunt porro maxime saepe laboriosam nemo. Quis quibusdam facilis possimus autem.,19714.65
18,1,Macarrones con verduras,Officia optio ea eos. Vitae sunt necessitatibus beatae at voluptatum.,7947.8
19,1,Habitas con jamón,Illum voluptatibus aliquam ipsa totam iure perspiciatis. Aliquam ullam officiis ad. Culpa illum velit corporis voluptatum quis.,13648.62
20,2,Atún a la plancha marinado en mostaza,Incidunt similique fugiat non. Corporis suscipit ducimus tenetur assumenda. Officiis a totam quod.,8984.7
21,2,Fideos con calabacines,Repellendus quaerat repudiandae nesciunt alias ratione laudantium. Adipisci nemo error rerum cupiditate. Blanditiis veritatis facilis amet excepturi sequi ratione.,16760.05
22,2,Espaguetis con puerros,Aperiam commodi eos ad error officia.,10408.36
23,2,Judías con chorizo,Labore similique sed repellat dignissimos. Id consequatur iure voluptatem libero fuga.,9300.54
