tid,aid,descripcion,precio
2,432,Reprehenderit occaecati aliquid praesentium nostrum et quibusdam. Sint illum laboriosam veritatis. Iste temporibus illo mollitia.,10355.54
1,432,Rerum veritatis illum hic sint maxime. Accusantium id architecto aliquam culpa eius.,7440.65
0,432,Labore rem officiis repudiandae tempore placeat. Rem nostrum similique repellat omnis saepe eveniet.,18728.23
1457,432,Harum maiores distinctio nulla cumque veniam beatae. Soluta repellendus rem assumenda minus id. Modi magnam consequuntur odio ea odit repellat iste.,17600.56
1456,432,Deserunt quam tempore architecto cum consequuntur. Aliquid minima perspiciatis veritatis blanditiis deleniti nostrum.,6930.28
1455,432,Repellat facere veniam voluptatem consequatur molestias. Nam eos optio dolor repellat. Voluptatum fuga aspernatur beatae occaecati.,5122.14
5,388,Placeat assumenda eum voluptas. Ipsa nesciunt debitis minus laboriosam laboriosam.,5171.37
4,388,Ipsum labore recusandae ab placeat odio in quod. Placeat autem eius ab.,23231.43
3,388,Autem placeat nesciunt. Vitae quidem numquam at vero.,9076.15
1532,388,Eius labore corporis sit rerum nihil tempore maiores. Animi optio quod dolore itaque nostrum maxime consequatur.,20689.88
1531,388,Quibusdam quo enim.,10004.99
1530,388,Aliquid eveniet occaecati voluptate possimus et. Repellendus sit itaque quibusdam rem vero. Quisquam quae minima odio possimus fugiat repudiandae.,23281.8
8,129,Vitae nulla unde odit eius doloribus eveniet. Numquam delectus dolores exercitationem facere.,2226.48
7,129,Maxime eius distinctio incidunt ratione enim.,17586.45
6,129,Impedit excepturi similique sed iste. Voluptas ipsum doloribus similique hic.,22224.16
1454,129,Laudantium necessitatibus ducimus iusto enim quisquam. Necessitatibus numquam quisquam impedit similique impedit.,9988.15
1453,129,Aperiam laudantium voluptatibus consectetur commodi corporis. Ducimus repudiandae officia quis. Molestiae incidunt praesentium.,13179.67
1452,129,Rem culpa ipsum repudiandae itaque tenetur. Dolorum quae temporibus aut.,15440.47
65,170,Cum at eos ratione quas aut error. Nesciunt consequatur tempora et sapiente.,15212.61
64,170,Quo maxime et libero reprehenderit labore unde. Facere cupiditate a id saepe molestiae autem. Dolore quia deserunt neque. Facere dolorem deserunt saepe quibusdam.,2040.95
63,170,Delectus aperiam rerum hic nostrum molestias maxime. Laboriosam neque assumenda debitis voluptates ratione nisi.,10605.43
11,170,Esse odit pariatur. Earum quod similique fugit quibusdam at. Labore dolor expedita saepe magnam ducimus aspernatur. Nam exercitationem unde iure fugiat vel.,2952.65
10,170,Maiores tenetur aspernatur soluta et voluptatum quibusdam. Repudiandae incidunt iste ut doloribus.,16459.28
9,170,Quasi nesciunt ea molestias. Consequatur odit odio autem et quisquam exercitationem maiores. Recusandae sequi nam.,16966.85
14,302,Mollitia animi aliquam atque. Porro est voluptatum accusantium dolor.,23687.43
13,302,Nihil accusantium repudiandae unde doloremque possimus sit repellat. Necessitatibus esse dolorum cumque neque quis est.,9301.87
12,302,Excepturi accusamus enim rem atque possimus harum. Repellendus temporibus illo iure. Aliquid deserunt assumenda.,13264.99
977,302,Blanditiis dolor commodi quos odit ipsa assumenda quam. Nesciunt dolor consequatur sit quae. Sunt ullam vitae et cupiditate.,6315.66
976,302,Corporis adipisci reiciendis possimus fugiat. Sit illo sunt aliquam assumenda.,19898.63
975,302,Ipsum deleniti adipisci quisquam rem. Accusamus beatae quas ipsam. Voluptas expedita similique perspiciatis quas occaecati. Libero molestias itaque reprehenderit optio.,12327.77
17,16,Pariatur laborum labore earum hic quibusdam. Fugit aspernatur beatae explicabo dolorum unde fuga. Eligendi atque natus aliquid.,4794.26
16,16,Mollitia velit ad fugiat. Optio saepe repudiandae illum nam fuga facere. Adipisci quod vero unde.,6905.14
15,16,Perferendis minus libero temporibus aperiam nesciunt non. Molestiae esse quidem itaque explicabo deleniti ratione.,23390.2
1259,16,Velit reprehenderit libero omnis. Debitis occaecati ratione a alias officiis id unde.,17573.43
1258,16,Architecto quae harum. Architecto consequuntur rerum maxime. Exercitationem aspernatur ullam eligendi.,12196.52
1257,16,Ipsa voluptates beatae veritatis. Eum provident aspernatur voluptatem modi natus cumque. Eum quis esse vel occaecati cumque.,19984.43
20,78,Dolor laborum corrupti provident facere veritatis. Libero rerum quod velit.,9706.56
19,78,Voluptatem perspiciatis et vel velit voluptatibus. Earum quaerat dolore iure.,24634.61
18,78,Error cupiditate placeat accusantium qui vitae. Repellendus quis est voluptate minus vero. Asperiores deleniti itaque asperiores maxime beatae.,18945.45
482,78,Accusantium minus incidunt reiciendis corrupti deleniti facere. Eveniet quibusdam ducimus modi exercitationem. Necessitatibus fugit fugit id voluptatibus minima nisi.,23837.09
481,78,Eius numquam beatae nostrum doloribus optio. Pariatur suscipit repudiandae ea quidem at voluptas.,15669.87
480,78,Blanditiis ad quae atque rerum.,18176.91
23,304,Dolores fuga minus necessitatibus animi omnis. Accusantium unde excepturi sequi aut. Alias dignissimos in id eos.,12542.21
22,304,Praesentium in nam ut laboriosam placeat non veniam. Iusto nam quas quas at labore asperiores.,13997.68
21,304,Impedit veniam ut vero error. Odit qui non officiis facere quam.,4039.42
1388,304,Tempora voluptate enim dignissimos vero voluptas. Dolores voluptatem enim assumenda. Error ad voluptatum ex repudiandae aspernatur eos.,13558.77
1387,304,Eum consequuntur voluptatum eum est dolores. Consequuntur ipsum cupiditate nostrum. Vitae minus eius voluptatem dicta blanditiis.,17621.04
1386,304,Enim temporibus quisquam in. Repellat ipsum neque incidunt maxime voluptatibus voluptatibus velit.,20785.0
26,153,Sequi quod quibusdam error repudiandae odit. Harum atque rerum tempore deserunt debitis occaecati. Deleniti quas quisquam.,15981.73
25,153,Sunt tempore blanditiis mollitia explicabo. Officia ratione laudantium id eveniet.,21925.93
24,153,Occaecati odit iure odio porro. Unde itaque corrupti voluptate. Sint enim impedit reprehenderit.,16059.84
173,153,Nisi architecto voluptas dolore consequatur. Incidunt labore nam dolore.,23843.84
172,153,Quaerat doloribus ipsa dolore consectetur sit illo. In placeat id aspernatur voluptates. Tempora iusto vero enim. Sequi placeat id fugit eius officiis nobis.,20064.46
171,153,Laborum numquam quaerat architecto nihil rem maxime. Debitis fugit eligendi at iste ea.,13234.35
29,437,Est cupiditate dignissimos. Dolores quam eaque ea blanditiis atque. Maxime adipisci veritatis quidem quos.,7718.02
28,437,Laborum veritatis quod illo eaque expedita impedit.,12473.4
27,437,Voluptates assumenda at ab voluptatem saepe rem. Suscipit alias nobis temporibus quam saepe. Voluptatibus fugiat alias mollitia molestias commodi.,18566.75
1283,437,Quos neque possimus sit eaque ad aperiam. Nostrum aspernatur soluta enim omnis.,10970.84
1282,437,Autem alias earum. Quia minus porro animi temporibus repudiandae architecto.,5310.19
1281,437,Labore perferendis reiciendis a veniam ut.,22655.21
32,281,Dolorum rem accusamus eius eaque. Eligendi earum dolore at illo numquam fugit.,20927.43
31,281,Animi ratione sit autem cupiditate totam expedita.,5469.24
30,281,Corrupti recusandae occaecati et. Deserunt temporibus quos magni perspiciatis dignissimos magnam. Magni voluptatibus fugiat impedit ea saepe.,22102.92
