sid;nombre_sendero;largo;dificultad;duracion
0;LOMAS GANADERAS DE JIMENA LANCES;11589.5565;ALTA;221
1;COMPLEJO ENDORREICO DE CHICLANA ;18795.3172;MUY BAJA;70
2;ESCARPES DEL RIO TREJO DEL LITORAL DE ROTA;2290.9319;MUY BAJA;169
3;CALAS DE ALGECIRAS CARRASCÓN;19913.4784;MUY ALTA;137
4;CONIL DE LA FRONTERA-VEJER DE LA FRONTERA QUEBRADAS;12455.0758;MUY ALTA;184
5;COVEZUELAS-CHARCA VERDE LAGARÍN;14815.9509;BAJA;227
6;COLA DEL EMBALSE DE ARCOS VERDE DEL LITORAL COSTA BALLENA-CHIPIONA;5467.4106;PROFESIONAL;259
7;FUENTES DEL RÍO HONDÓN VERDE;1066.3315;PROFESIONAL;112
8;OCURI ALGARBES-BETIJUELO;6587.0264;MUY BAJA;95
9;ARROYO CAÑUELO SALINA-FANGOS MAREALES DEL RÍO BARBATE;14706.3761;MEDIA;195
10;RUTA DEL VIAJERO Y TAJO;7586.9423;MUY BAJA;216
11;SUBIDA A LA CRUZ DEL TAJO DE UBRIQUE TORREÓN;2527.0055;BAJA;141
12;SUBIDA A LA CRUZ DEL TAJO DE UBRIQUE DE LA ESPERANZA;10978.0406;ALTA;148
13;CASTILLO MEDIEVAL DE GIGONZA DEL DESCANSADERO;8605.4453;MUY ALTA;71
14;MARISMAS DEL BARBATE CANALIZO DE LA SIERRA DE LÍJAR;16745.41;MEDIA;238
15;SUBIDA A LA SILLA SALTADERO;14579.0772;MUY ALTA;145
16;CAMINO DE LAS SALINAS DE LAS PRESILLAS;9660.2618;PROFESIONAL;105
17;SIERRAS DEL RETÍN Y LA PLATA ALMORAIMA;17294.5125;PROFESIONAL;241
18;EL CARRASCÓN DE LA FUENTE SANTA;13320.1303;BAJA;133
19;SALINA CARBONEROS GARGANTE VERDE;17138.6486;MEDIA;94
20;GARGANTA DE BOGAS LADERA;18358.9332;ALTA;201
21;GARGANTA SECA Y PUERTO DE LA BREÑA DEL RAYO;14342.7363;MUY ALTA;264
22;LA GARGANTE VERDE DEL EMBALSE DE BORNOS;10884.7867;MUY BAJA;204
23;RUTA DEL VIAJERO LAGARÍN;11621.7165;MUY BAJA;189
24;CALLEJÓN DE LAS MOCITAS LOMAS DE CÁMARA;12030.0267;MUY BAJA;212
25;RUINAS DE ESPERILLA TOLETA;19840.5409;BAJA;176
26;LA ALBINA AL CERRO PICACHO DE PUERTO SERRANO;19471.6481;MUY BAJA;105
27;LA TEJA EXTENSA VEGA DE BORNOS;15525.6612;MUY ALTA;142
28;ERMITA DE LOS REMEDIOS DEL RABEL;6131.7618;ALTA;102
29;CORREDOR VERDE DOS BAHIAS. TRAMO I DE LA CAÑADA DE MÁLAGA;5289.622;BAJA;240
30;CARISSA AURELIA VERDE DEL LITORAL COSTA BALLENA-CHIPIONA;5503.6664;MUY ALTA;181
31;SUBIDA AL CERRO PICACHO DE PUERTO SERRANO ROCHE;8259.9731;BAJA;267
32;LLANOS DE LÍBAR VERDE DE ALGECIRAS;17007.0929;PROFESIONAL;74
33;DEHESA DEL BOYAR VERDE DE LA COSTA NOROESTE;18443.2702;MUY BAJA;183
34;PUERTA VERDE DE SAN FERNANDO AGUILILLAS - LAS GUAREÑAS;14309.8708;BAJA;282
35;FUENTES DEL RÍO HONDÓN AL CERRO ALBARRACINEJO;10017.8843;PROFESIONAL;98
36;SUBIDA A LA SILLA DE BARBATE;3983.871;PROFESIONAL;169
37;LAS AGUILILLAS - LAS GUAREÑAS SALTADERO;6621.8026;PROFESIONAL;193
38;PUERTO DE LAS PALOMAS - CERRO DE COROS DE LA FRONTERA-PALOMAR DE LA BREÑA;8522.9536;MUY BAJA;112
39;RUTA DE LOS MOLINOS DE SETENIL AL ALJIBE;9620.2272;MEDIA;87
40;ARROYO DE SAN CARLOS DEL TIRADERO ;19520.3161;MUY BAJA;265
41;VÍA VERDE MATAGORDA ;17633.4999;PROFESIONAL;59
42;CORREDOR VERDE DEL LITORAL COSTA BALLENA-CHIPIONA DE LAS PALOMAS - CERRO DE COROS;3968.2843;MEDIA;264
43;DE SETENIL A CAÑOS SANTOS AL TAJO LAGARÍN;4776.3453;MEDIA;280
44;TAJO DE LAS FIGURAS DE LA ERA EMPEDRADA;19367.3605;MUY BAJA;206
45;PINAR DE LA ALGAIDA-SALINA DESAMPARADOS DEL ARROYO DE LA GARGANTA DEL BOYAR;8701.5725;MUY ALTA;139
46;ARROYOMOLINOS AMIGOS - RÍO ARILLO;4483.3224;MUY BAJA;289
47;CAÑADA REAL DE JEREZ A RONDA DEL VIAJERO;14642.5505;MUY BAJA;286
48;LOS ALGARBES-BETIJUELO TREN DEL AZÚCAR;10441.8817;MEDIA;168
49;CORDEL DE MORÓN-MIRADOR DE LAS TOSCAS DEL RATÓN;18489.0616;MUY BAJA;53
50;CERRO DEL ÁGUILA VERDE DE SAN FERNANDO;15563.9416;MEDIA;76
51;CERRO DEL TAMBOR CAÑILLO;16225.7436;MEDIA;84
52;VEREDA DE LA ASOMADA VERDE DOS BAHÍAS;18522.4426;MUY BAJA;238
53;MURTA DE BOLONIA;11895.1676;MUY BAJA;94
