vid;eid
4;0
26;0
2;1
46;1
34;2
15;2
36;3
26;3
36;4
0;4
45;5
18;5
8;6
33;6
22;7
27;7
7;8
40;8
20;9
37;9
47;10
14;10
42;11
38;11
41;12
27;12
32;13
33;13
23;14
35;14
1;15
40;15
28;16
41;16
20;17
25;17
44;18
38;18
26;19
46;19
6;20
11;20
46;21
13;21
24;22
17;22
32;23
15;23
10;24
31;24
23;25
25;25
0;26
4;26
31;27
7;27
29;28
34;28
26;29
19;29
15;30
11;30
9;31
34;31
19;32
5;32
43;33
15;33
43;34
25;34
1;35
15;35
38;36
43;36
40;37
23;37
7;38
29;38
10;39
13;39
0;40
24;40
29;41
23;41
4;42
39;42
7;43
41;43
14;44
20;44
13;45
37;45
39;46
40;46
7;47
15;47
46;48
7;48
13;49
7;49
12;50
0;50
27;51
18;51
38;52
45;52
34;53
17;53
39;54
3;54
7;55
15;55
18;56
4;56
12;57
33;57
21;58
12;58
14;59
23;59
44;60
18;60
16;61
20;61
5;62
39;62
10;63
18;63
21;64
16;64
17;65
15;65
6;66
38;66
6;67
47;67
33;68
18;68
9;69
21;69
28;70
8;70
38;71
37;71
34;72
4;72
18;73
29;73
8;74
35;74
46;75
25;75
13;76
1;76
21;77
17;77
15;78
40;78
32;79
15;79
47;80
21;80
46;81
27;81
6;82
25;82
11;83
5;83
27;84
21;84
12;85
6;85
5;86
41;86
17;87
35;87
2;88
19;88
12;89
13;89
9;90
12;90
14;91
22;91
35;92
47;92
43;93
30;93
46;94
16;94
40;95
4;95
29;96
37;96
13;97
30;97
14;98
3;98
35;99
47;99
32;100
39;100
4;101
24;101
32;102
14;102
30;103
36;103
44;104
47;104
1;105
0;105
4;106
10;106
18;107
17;107
23;108
25;108
25;109
47;109
21;110
16;110
8;111
30;111
35;112
47;112
20;113
2;113
34;114
17;114
7;115
30;115
44;116
7;116
23;117
12;117
22;118
41;118
40;119
14;119
35;120
8;120
41;121
23;121
30;122
34;122
30;123
22;123
29;124
24;124
44;125
7;125
29;126
10;126
1;127
30;127
25;128
32;128
41;129
7;129
11;130
38;130
14;131
24;131
29;132
11;132
40;133
1;133
12;134
36;134
32;135
38;135
34;136
35;136
16;137
17;137
37;138
28;138
39;139
1;139
34;140
26;140
44;141
46;141
40;142
11;142
31;143
19;143
37;144
2;144
24;145
14;145
36;146
26;146
32;147
28;147
12;148
43;148
35;149
15;149
2;150
20;150
23;151
33;151
28;152
42;152
15;153
8;153
47;154
30;154
24;155
44;155
30;156
0;156
5;157
0;157
5;158
37;158
43;159
22;159
30;160
19;160
14;161
44;161
29;162
27;162
3;163
47;163
5;164
1;164
4;165
30;165
28;166
5;166
40;167
46;167
12;168
29;168
26;169
5;169
27;170
15;170
23;171
13;171
0;172
13;172
22;173
23;173
33;174
23;174
46;175
