nombre_vina;telefono;descripcion;vid
VIÑA DE BOLONIA;56994131638;Deleniti natus ex tempora.;4
VIÑA PICACHO-PEGUERA CHARCONES;56900266477;Facere praesentium magni qui nemo a. Mollitia deleniti quisquam distinctio officiis.;26
VIÑA CERRO DE;56976610999;Delectus ratione laudantium laudantium facere accusamus quis ullam. Alias alias nam.;2
VIÑA SALTILLO CASA;56967530612;Quis commodi laboriosam tenetur fugit. Iure provident recusandae quaerat minus sequi.;46
VIÑA PEDRO HOYO;56926797558;Iure accusamus accusamus sapiente tempore quibusdam consectetur sequi. Quisquam ipsum temporibus corrupti.;34
VIÑA DEL DE;56960482126;Quos tempore rerum nesciunt quo. Vero nisi velit illo quia asperiores iusto expedita. Nihil accusantium et architecto quam culpa laboriosam. Soluta pariatur placeat velit nostrum saepe doloribus asperiores.;15
VIÑA MONTE DE;56946751464;Explicabo minus odit at delectus tenetur repellendus. Repellendus ratione sint natus sunt asperiores.;36
VIÑA DE ROCHE;56911336234;Ab cum id sint doloribus. Omnis assumenda voluptatem repellat asperiores in.;0
VIÑA LA DE;56915924390;Eligendi magnam natus veritatis quaerat tempore commodi perspiciatis. Perferendis optio optio laborum reiciendis.;45
VIÑA EL RUTA;56996645473;Esse ipsa tempore velit sint aliquam sed. Adipisci quia ipsa.;18
VIÑA SALTILLO LAGARÍN;56915418230;Dolores non adipisci excepturi consequuntur delectus sint. Praesentium quis voluptate. Amet laborum animi ullam hic cumque. Incidunt sapiente enim.;8
VIÑA DE PUERTA;56966668395;Deserunt libero id. Ipsam consequatur minus aliquid inventore. Doloremque maxime voluptate laboriosam autem praesentium excepturi.;33
VIÑA EMBALSE DE;56934670375;Nihil voluptatem repudiandae quo libero magnam in placeat. Aspernatur corrupti cumque earum officiis nobis architecto.;22
VIÑA BAHIAS. DOS;56929778882;Quibusdam asperiores excepturi tempore laboriosam. Reiciendis incidunt eveniet ratione quia.;27
VIÑA LECHE DEL;56986327111;Nostrum veritatis sit quia eius.;7
VIÑA LA LADERA;56903518309;Eveniet hic sequi doloremque quo animi optio possimus. Reprehenderit suscipit aliquid voluptatibus aperiam. Velit itaque tempora soluta libero veniam ullam officia.;40
VIÑA DEL PILAR;56938825819;Ducimus quaerat laudantium distinctio nam corrupti ad. Perferendis molestias voluptate sint suscipit ex molestiae reiciendis.;20
VIÑA DE DEL;56942502312;Officiis aperiam enim omnis rem. Sapiente quod repellendus eaque. Minus ut non aut voluptas atque.;37
VIÑA PUENTES ROMANOS;56905220520;Cupiditate est mollitia nemo at dignissimos delectus id. Asperiores ratione sunt eveniet aperiam eum.;47
VIÑA LA FRONTERA;56972153721;Beatae non officiis autem enim a. Aliquid quasi amet at repellat.;14
VIÑA DE LAS;56932508467;Cumque voluptas ut.;42
VIÑA EL III;56979385876;Aperiam ad aut fugit. Esse dolore facere ipsam modi ipsum aliquam. Vel rem hic.;38
VIÑA JEREZ DE;56913987849;Quibusdam cum praesentium quibusdam architecto voluptatibus eos. A consequatur aliquam culpa provident. Omnis eum quae similique praesentium odit veniam. Ullam praesentium perspiciatis ipsam ducimus eveniet consequatur.;41
VIÑA FRONTERA-CANTARRANAS PICACHO-PEGUERA;56911970071;Excepturi cupiditate illum. Cum illo neque minus at.;32
VIÑA DE DE;56989066697;Iusto cupiditate consectetur est est a. Aspernatur unde laborum ipsam modi. Nostrum ea fugiat fugiat reiciendis earum. Molestias tempora necessitatibus atque explicabo consequuntur libero.;23
VIÑA ALBINAS LAS;56926532026;Impedit itaque quisquam dignissimos consequuntur iste sapiente. Deserunt porro dolores dicta. Atque nulla repellat sunt.;35
