nombre_vina;telefono;descripcion;vid
VIÑA PLAYA BARROSA;56998009961;Tempora esse labore. Dicta suscipit ipsam blanditiis. Odio architecto magni corporis.;35
VIÑA LOS DEL;56906152577;Necessitatibus amet tenetur officiis. Impedit eius sequi aut perferendis rerum dolor maxime.;18
VIÑA TRASHUMANTES VENTAS;56900895650;Deserunt accusamus ut libero at quo consectetur voluptates. Rerum quae dolores dicta nostrum iusto neque consequatur.;4
VIÑA CANCHA BERMEJA;56927786414;Quam exercitationem numquam atque. Illum iure atque dolorem repudiandae. Libero aspernatur doloribus quam rerum sint eaque. Deserunt aperiam in quibusdam voluptate.;25
VIÑA LOS RUTA;56944973128;Aspernatur a porro tempora distinctio. Minus odio enim earum omnis tenetur aut.;43
VIÑA TRAMO DE;56916824728;Temporibus eaque enim esse expedita rerum.;44
VIÑA EL DE;56923065511;Corrupti iure dolorum cupiditate. Similique aliquid reiciendis.;0
VIÑA GRAZALEMA DE;56930733303;Cumque quasi fugiat eligendi quod aspernatur repellat. Iusto tempore ipsa vero nisi expedita est.;21
VIÑA LA DE;56983599523;Molestias voluptates incidunt sed. A fugit ducimus eum suscipit. Non officia eius atque laborum quasi rem.;32
VIÑA DOLORES SALINAS;56991717897;Et nam id eius vitae dignissimos.;29
VIÑA BARTOLOMÉ DE;56977758668;Officiis nisi voluptate beatae laudantium in. Quos quis deleniti error modi facilis ipsa.;46
VIÑA VERDE BORNOS;56912518251;Deleniti odio maiores ipsum. Impedit eveniet iure deserunt.;40
VIÑA SAN AMBROSIO;56901736670;Officiis sit et tenetur. Quidem aliquid at iste.;42
VIÑA OSCURO EL;56923768695;Cum sequi dolorem adipisci. Occaecati animi a. Accusamus ipsum voluptates vero.;22
VIÑA MOLINO VERDE;56948881983;Quos impedit iusto eos quas quae. Nobis numquam ab praesentium impedit odio nisi.;1
VIÑA CHAVARRIA CAMINO;56940810365;Culpa possimus modi sit sint. Cumque eveniet quia nihil animi quasi. Corporis odit asperiores rem consequuntur at ipsum sapiente.;17
VIÑA DEL AMIGOS;56977616211;Voluptatum quis tempora. Quis quibusdam ducimus voluptatem.;2
VIÑA - AL;56915301348;Similique maxime quo ut officia dolor cum officia. Necessitatibus ipsam quo repellendus optio reiciendis facilis necessitatibus.;19
VIÑA SUBIDA SERRANO;56936597238;Consectetur assumenda illum ipsum occaecati. Quisquam minima aperiam quisquam amet. Accusantium error ut assumenda voluptates laudantium.;8
